hobby,an activity done regularly for pleasure
weather,the state of the atmosphere at a particular place and time
appointment,an arrangement to meet someone at a particular time and place
neighbor,a person living near or next door to you
recipe,a set of instructions for preparing a particular dish
vacation,a period of time devoted to pleasure, rest, or relaxation
invitation,a written or verbal request to attend an event or visit someone
furniture,large movable objects used to make a space suitable for living or working
schedule,a plan for carrying out a process or procedure
direction,the course along which someone or something moves
